FECHA,HORA,PARAM,ATM,OBL,PIN,SFE,TLA,VAL,CEN,AGU,LDO,MIR
2016-01-02,06:00,O3,0.00392,0.00327,0.00205,0.00238,0.00262,0.00298,0.00207,0.00102,0.00323,0.00308
2016-01-02,06:00,PM10,17.39,17.56,,135.62,15.91,11.64,13.23,11.17,19.44,403.2
2016-01-02,06:00,CO,0.734,0.904,1.198,1.624,0.914,0.365,0.54,0.992,0.771,1.188
2016-01-02,06:00,NO2,0.02072,0.02017,0.01668,0.01583,0.02395,0.01897,0.01815,0.0211,0.0224,0.02223
2016-01-02,06:00,SO2,0.00149,0.00432,,0.00175,0.00217,,0.0024,0.0016,0.00216,0.00181
2016-01-02,07:00,O3,0.00303,0.002,0.00248,0.00193,0.00293,0.00292,0.0011,0.00085,0.0042,0.00327
2016-01-02,07:00,PM10,17.63,37.49,,194.34,22.63,17.9,34.58,19.9,23.72,387.57
2016-01-02,07:00,CO,1.138,1.286,1.129,1.535,1.015,0.6,1.45,1.137,0.905,1.391
2016-01-02,07:00,NO2,0.0214,0.022,0.01912,0.01242,0.0246,0.01993,0.0205,0.022,0.02147,0.0233
2016-01-02,07:00,SO2,0.00182,0.00484,,0.00153,0.00206,,0.00244,0.00198,0.00206,0.0021
2016-01-02,08:00,O3,0.00438,0.00603,0.00593,0.00817,0.0052,0.00648,0.0037,0.00717,0.00482,0.00487
2016-01-02,08:00,PM10,36.09,45.68,,285.03,28.37,27.53,50.33,24.8,27.92,192.46
2016-01-02,08:00,CO,1.461,1.179,0.726,0.818,1.133,0.93,1.026,0.796,1.008,1.113
2016-01-02,08:00,NO2,0.02977,0.01955,0.01782,0.01105,0.02337,0.0228,0.01967,0.0235,0.02442,0.02687
2016-01-02,08:00,SO2,0.00221,0.00529,,0.00074,0.00269,,0.0024,0.00213,0.00321,0.0014
2016-01-02,09:00,O3,0.0158,0.01528,0.01132,0.0149,0.01142,0.01265,0.01268,0.00958,0.01035,0.01072
2016-01-02,09:00,PM10,49.95,49.09,,320.22,36.55,46.92,45.27,31.92,34.81,163.94
2016-01-02,09:00,CO,0.793,0.976,0.727,0.656,0.894,0.812,0.753,0.992,0.867,1.017
2016-01-02,09:00,NO2,0.02015,0.01389,0.01765,0.00935,0.01692,0.0269,0.01248,0.02652,0.01928,0.02278
2016-01-02,09:00,SO2,0.00249,0.00575,,0.00133,0.00344,,0.00245,0.00263,0.00437,0.00242
2016-01-02,10:00,O3,0.02657,0.02383,0.02583,0.02092,0.01722,0.0247,0.01857,0.02133,0.01712,0.01732
2016-01-02,10:00,PM10,42.35,45.77,,121.34,39.62,53.54,43.01,43.8,26.8,147.02
2016-01-02,10:00,CO,0.708,0.919,0.493,0.763,0.826,0.699,0.706,0.835,0.857,0.743
2016-01-02,10:00,NO2,0.0168,0.01297,0.00883,0.00903,0.01498,0.0229,0.01357,0.02463,0.0174,0.01625
2016-01-02,10:00,SO2,0.00251,0.00588,,0.00172,0.00356,,0.00248,0.00295,0.00419,0.00217
2016-01-02,11:00,O3,0.0381,0.03625,0.0363,0.02783,0.0245,0.03943,0.02675,0.03145,0.03057,0.02692
2016-01-02,11:00,PM10,41.02,45.99,,101.68,43.36,51.28,42.26,44.1,31.11,171.7
2016-01-02,11:00,CO,0.759,0.806,0.448,0.808,0.806,0.489,0.676,0.746,0.696,0.651
2016-01-02,11:00,NO2,0.02085,0.0119,0.00642,0.00918,0.01273,0.01425,0.0135,0.02497,0.01267,0.01357
2016-01-02,11:00,SO2,0.00272,0.00575,,0.00149,0.00324,,0.00244,0.00264,0.00378,0.0017
2016-01-02,12:00,O3,0.04925,0.04838,0.04317,0.0319,0.02897,0.0511,0.03627,0.04078,0.03662,0.03307
2016-01-02,12:00,PM10,41.08,38.26,,80.34,33.88,42.93,45.46,33.64,34.14,179.52
2016-01-02,12:00,CO,0.754,0.759,0.448,0.832,0.773,0.422,0.839,0.545,0.753,0.624
2016-01-02,12:00,NO2,0.02208,0.01308,0.00582,0.01192,0.01102,0.01205,0.01148,0.01803,0.01422,0.0121
2016-01-02,12:00,SO2,0.00269,0.00559,,0.00128,0.0025,,0.00243,0.00249,0.00291,0.00128
2016-01-02,13:00,O3,0.05437,0.05687,0.04712,0.03188,0.02907,0.05532,0.04035,0.0457,0.0389,0.03417
2016-01-02,13:00,PM10,43.88,38.47,,55.25,28.43,43.57,45.17,28.54,34.06,129.91
2016-01-02,13:00,CO,0.641,0.722,0.469,1.133,0.759,0.396,0.838,0.546,0.649,0.624
