FECHA,HORA,PARAM,ATM,AGU,CEN,PIN,LDO,MIR,OBL,SFE,TLA,VAL
2015-01-02,19:00,PM10,38.51,22.79,26.55,93.78,58.14,48.09,27.82,65.58,49.81,28.02
2015-01-02,19:00,CO,0.828,0.446,,0.572,0.79,0.79,0.591,1.106,0.936,0.699
2015-01-02,19:00,NO2,0.01267,0.01277,0.02258,0.01467,0.03762,0.02212,0.01835,0.01782,0.02322,0.01987
2015-01-02,19:00,SO2,0.001,0.00012,,0.004,0.00248,0.00097,0.002,0.001,0.00223,0.00118
2015-01-02,20:00,O3,0.00678,0.019,0.00505,0.00517,0.0028,0.00748,0.01307,0.00608,0.00732,0.01385
2015-01-02,20:00,PM10,29.23,19.08,27.08,97.05,52.29,69.2,24.41,71.4,52.56,26.74
2015-01-02,20:00,CO,0.77,0.387,,0.661,0.786,0.786,0.576,1.758,0.902,0.708
2015-01-02,20:00,NO2,0.01773,0.00862,0.0225,0.02535,0.03698,0.02053,0.016,0.02365,0.02287,0.02008
2015-01-02,20:00,SO2,0.001,0.0003,,0.00415,0.00293,0.00108,0.00202,0.00155,0.00238,0.00138
2015-01-02,21:00,O3,0.01172,0.014,0.0077,0.00578,0.0067,0.0131,0.01225,0.00398,0.0099,0.01297
2015-01-02,21:00,PM10,23.52,16.43,23.8,62.57,43.12,51.91,22.74,83.1,37.8,21.39
2015-01-02,21:00,CO,0.509,0.426,,0.527,0.606,0.606,0.551,1.724,0.732,0.689
2015-01-02,21:00,NO2,0.00987,0.01083,0.01873,0.02127,0.02658,0.01337,0.01632,0.02218,0.0182,0.01973
2015-01-02,21:00,SO2,0.00083,0.0011,,0.004,0.00225,0.00087,0.002,0.00193,0.002,0.00147
2015-01-02,22:00,O3,0.0148,0.017,0.00518,0.0107,0.00582,0.01187,0.01113,0.00378,0.01027,0.01553
2015-01-02,22:00,PM10,17.51,14.02,21.65,53.6,31.74,29.76,17.62,94.24,23.75,13.18
2015-01-02,22:00,CO,0.391,0.357,,0.423,0.601,0.599,0.564,1.537,0.674,0.613
2015-01-02,22:00,NO2,0.00547,0.00818,0.01957,0.015,0.02598,0.013,0.01523,0.01922,0.0165,0.0127
2015-01-02,22:00,SO2,0.00085,0.0001,,0.004,0.00203,0.00098,0.002,0.00188,0.002,0.00107
2015-01-02,23:00,O3,0.01248,0.017,0.00647,0.01195,0.00688,0.01468,0.01155,0.00773,0.00957,0.01087
2015-01-02,23:00,PM10,17.49,13.7,19.04,35.42,29.2,24.77,16.18,96.54,27.29,12.61
